Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
conv_Arnolfini_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	193	pc "[what]"
conv_Arnolfini_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Arnolfini.rpy	199	p "[what]"
conv_Arnolfini_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Arnolfini.rpy	205	p "[what]"
conv_Arnolfini_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Arnolfini.rpy	211	pc "[what]"
conv_Davids_1c4b95de	p	You're talking to me, the Davids!	game/tl/test/characters/C_Davids.rpy	7	p "[what]"
conv_Davids_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Davids.rpy	13	p "[what]"
conv_Davids_e375c1af	pc	We sure are.	game/tl/test/characters/C_Davids.rpy	19	pc "[what]"
conv_Davids_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Davids.rpy	25	p "[what]"
conv_Davids_57659f9d	p	See ya	game/tl/test/characters/C_Davids.rpy	31	p "[what]"
conv_Davids_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Davids.rpy	37	p "[what]" nointeract
conv_Davids_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_Davids.rpy	43	p "[what]"
conv_Davids_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_Davids.rpy	49	p "[what]"
conv_Davids_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Davids.rpy	55	p "[what]"
conv_Davids_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	61	p "[what]"
conv_Davids_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	67	pc "[what]"
conv_Davids_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Davids.rpy	73	p "[what]"
conv_Davids_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	79	p "[what]"
conv_Davids_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	85	pc "[what]"
conv_Davids_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_Davids.rpy	91	p "[what]"
conv_Davids_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Davids.rpy	97	p "[what]"
conv_Davids_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	103	p "[what]"
conv_Davids_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	109	pc "[what]"
conv_Davids_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Davids.rpy	115	p "[what]"
conv_Davids_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	121	p "[what]"
conv_Davids_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	127	pc "[what]"
conv_Davids_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_Davids.rpy	133	p "[what]"
conv_Davids_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Davids.rpy	139	p "[what]"
conv_Davids_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	145	p "[what]"
conv_Davids_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	151	pc "[what]"
conv_Davids_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Davids.rpy	157	p "[what]"
conv_Davids_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	163	p "[what]"
conv_Davids_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	169	pc "[what]"
conv_Davids_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_Davids.rpy	175	p "[what]"
conv_Davids_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Davids.rpy	181	p "[what]"
conv_Davids_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	187	p "[what]"
conv_Davids_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	193	pc "[what]"
conv_Davids_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Davids.rpy	199	p "[what]"
conv_Davids_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Davids.rpy	205	p "[what]"
conv_Davids_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Davids.rpy	211	pc "[what]"
conv_EaNasir_100d95bb	p	You're talking to me, the EaNasir! I'm a side character!	game/tl/test/characters/C_EaNasir.rpy	7	p "[what]"
conv_EaNasir_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_EaNasir.rpy	13	p "[what]"
conv_EaNasir_e375c1af	pc	We sure are.	game/tl/test/characters/C_EaNasir.rpy	19	pc "[what]"
conv_EaNasir_57659f9d	p	See ya	game/tl/test/characters/C_EaNasir.rpy	25	p "[what]"
conv_Gilgamesh_c407592b	p	You're talking to me, the Gilgamesh!	game/tl/test/characters/C_Gilgamesh.rpy	7	p "[what]"
conv_Gilgamesh_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Gilgamesh.rpy	13	p "[what]"
conv_Gilgamesh_e375c1af	pc	We sure are.	game/tl/test/characters/C_Gilgamesh.rpy	19	pc "[what]"
conv_Gilgamesh_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Gilgamesh.rpy	25	p "[what]"
conv_Gilgamesh_57659f9d	p	See ya	game/tl/test/characters/C_Gilgamesh.rpy	31	p "[what]"
conv_Gilgamesh_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Gilgamesh.rpy	37	p "[what]" nointeract
conv_Gilgamesh_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_Gilgamesh.rpy	43	p "[what]"
conv_Gilgamesh_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_Gilgamesh.rpy	49	p "[what]"
conv_Gilgamesh_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	55	p "[what]"
conv_Gilgamesh_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	61	p "[what]"
conv_Gilgamesh_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	67	pc "[what]"
conv_Gilgamesh_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	73	p "[what]"
conv_Gilgamesh_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	79	p "[what]"
conv_Gilgamesh_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	85	pc "[what]"
conv_Gilgamesh_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_Gilgamesh.rpy	91	p "[what]"
conv_Gilgamesh_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	97	p "[what]"
conv_Gilgamesh_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	103	p "[what]"
conv_Gilgamesh_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	109	pc "[what]"
conv_Gilgamesh_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	115	p "[what]"
conv_Gilgamesh_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	121	p "[what]"
conv_Gilgamesh_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	127	pc "[what]"
conv_Gilgamesh_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_Gilgamesh.rpy	133	p "[what]"
conv_Gilgamesh_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	139	p "[what]"
conv_Gilgamesh_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	145	p "[what]"
conv_Gilgamesh_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	151	pc "[what]"
conv_Gilgamesh_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	157	p "[what]"
conv_Gilgamesh_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	163	p "[what]"
conv_Gilgamesh_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	169	pc "[what]"
conv_Gilgamesh_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_Gilgamesh.rpy	175	p "[what]"
conv_Gilgamesh_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	181	p "[what]"
conv_Gilgamesh_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	187	p "[what]"
conv_Gilgamesh_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	193	pc "[what]"
conv_Gilgamesh_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Gilgamesh.rpy	199	p "[what]"
conv_Gilgamesh_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Gilgamesh.rpy	205	p "[what]"
conv_Gilgamesh_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Gilgamesh.rpy	211	pc "[what]"
conv_Glimmer_981338ac	p	You're talking to me, the Glimmer!	game/tl/test/characters/C_Glimmer.rpy	7	p "[what]"
conv_Glimmer_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Glimmer.rpy	13	p "[what]"
conv_Glimmer_e375c1af	pc	We sure are.	game/tl/test/characters/C_Glimmer.rpy	19	pc "[what]"
conv_Glimmer_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Glimmer.rpy	25	p "[what]"
conv_Glimmer_57659f9d	p	See ya	game/tl/test/characters/C_Glimmer.rpy	31	p "[what]"
conv_Glimmer_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_Glimmer.rpy	37	p "[what]" nointeract
conv_Glimmer_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_Glimmer.rpy	43	p "[what]"
conv_Glimmer_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_Glimmer.rpy	49	p "[what]"
conv_Glimmer_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Glimmer.rpy	55	p "[what]"
conv_Glimmer_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	61	p "[what]"
conv_Glimmer_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	67	pc "[what]"
conv_Glimmer_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Glimmer.rpy	73	p "[what]"
conv_Glimmer_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	79	p "[what]"
conv_Glimmer_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	85	pc "[what]"
conv_Glimmer_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_Glimmer.rpy	91	p "[what]"
conv_Glimmer_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Glimmer.rpy	97	p "[what]"
conv_Glimmer_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	103	p "[what]"
conv_Glimmer_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	109	pc "[what]"
conv_Glimmer_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Glimmer.rpy	115	p "[what]"
conv_Glimmer_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	121	p "[what]"
conv_Glimmer_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	127	pc "[what]"
conv_Glimmer_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_Glimmer.rpy	133	p "[what]"
conv_Glimmer_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Glimmer.rpy	139	p "[what]"
conv_Glimmer_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	145	p "[what]"
conv_Glimmer_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	151	pc "[what]"
conv_Glimmer_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Glimmer.rpy	157	p "[what]"
conv_Glimmer_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	163	p "[what]"
conv_Glimmer_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	169	pc "[what]"
conv_Glimmer_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_Glimmer.rpy	175	p "[what]"
conv_Glimmer_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_Glimmer.rpy	181	p "[what]"
conv_Glimmer_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	187	p "[what]"
conv_Glimmer_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	193	pc "[what]"
conv_Glimmer_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_Glimmer.rpy	199	p "[what]"
conv_Glimmer_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_Glimmer.rpy	205	p "[what]"
conv_Glimmer_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_Glimmer.rpy	211	pc "[what]"
conv_MonaLisa_e76b5cb7	p	You're talking to me, the MonaLisa!	game/tl/test/characters/C_MonaLisa.rpy	7	p "[what]"
conv_MonaLisa_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_MonaLisa.rpy	13	p "[what]"
conv_MonaLisa_e375c1af	pc	We sure are.	game/tl/test/characters/C_MonaLisa.rpy	19	pc "[what]"
conv_MonaLisa_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_MonaLisa.rpy	25	p "[what]"
conv_MonaLisa_57659f9d	p	See ya	game/tl/test/characters/C_MonaLisa.rpy	31	p "[what]"
conv_MonaLisa_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_MonaLisa.rpy	37	p "[what]" nointeract
conv_MonaLisa_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_MonaLisa.rpy	43	p "[what]"
conv_MonaLisa_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_MonaLisa.rpy	49	p "[what]"
conv_MonaLisa_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_MonaLisa.rpy	55	p "[what]"
conv_MonaLisa_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	61	p "[what]"
conv_MonaLisa_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	67	pc "[what]"
conv_MonaLisa_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_MonaLisa.rpy	73	p "[what]"
conv_MonaLisa_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	79	p "[what]"
conv_MonaLisa_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	85	pc "[what]"
conv_MonaLisa_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_MonaLisa.rpy	91	p "[what]"
conv_MonaLisa_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_MonaLisa.rpy	97	p "[what]"
conv_MonaLisa_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	103	p "[what]"
conv_MonaLisa_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	109	pc "[what]"
conv_MonaLisa_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_MonaLisa.rpy	115	p "[what]"
conv_MonaLisa_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	121	p "[what]"
conv_MonaLisa_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	127	pc "[what]"
conv_MonaLisa_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_MonaLisa.rpy	133	p "[what]"
conv_MonaLisa_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_MonaLisa.rpy	139	p "[what]"
conv_MonaLisa_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	145	p "[what]"
conv_MonaLisa_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	151	pc "[what]"
conv_MonaLisa_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_MonaLisa.rpy	157	p "[what]"
conv_MonaLisa_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	163	p "[what]"
conv_MonaLisa_beat3_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	169	pc "[what]"
conv_MonaLisa_beat4_d1d685f0	p	This is the fourth beat of my story!	game/tl/test/characters/C_MonaLisa.rpy	175	p "[what]"
conv_MonaLisa_beat4_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_MonaLisa.rpy	181	p "[what]"
conv_MonaLisa_beat4_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	187	p "[what]"
conv_MonaLisa_beat4_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	193	pc "[what]"
conv_MonaLisa_beat4_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_MonaLisa.rpy	199	p "[what]"
conv_MonaLisa_beat4_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_MonaLisa.rpy	205	p "[what]"
conv_MonaLisa_beat4_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_MonaLisa.rpy	211	pc "[what]"
conv_Nighthawks_77b50398	p	You're talking to me, the Nighthawks! I'm a side character!	game/tl/test/characters/C_Nighthawks.rpy	7	p "[what]"
conv_Nighthawks_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Nighthawks.rpy	13	p "[what]"
conv_Nighthawks_e375c1af	pc	We sure are.	game/tl/test/characters/C_Nighthawks.rpy	19	pc "[what]"
conv_Nighthawks_57659f9d	p	See ya	game/tl/test/characters/C_Nighthawks.rpy	25	p "[what]"
conv_Poster_7d4b4228	p	You're talking to me, the Poster! I'm a side character!	game/tl/test/characters/C_Poster.rpy	7	p "[what]"
conv_Poster_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_Poster.rpy	13	p "[what]"
conv_Poster_e375c1af	pc	We sure are.	game/tl/test/characters/C_Poster.rpy	19	pc "[what]"
conv_Poster_57659f9d	p	See ya	game/tl/test/characters/C_Poster.rpy	25	p "[what]"
conv_SaintCatherine_ce77ae54	p	You're talking to me, the SaintCatherine!	game/tl/test/characters/C_SaintCatherine.rpy	7	p "[what]"
conv_SaintCatherine_3024ff77	p	We're chatting a little now!	game/tl/test/characters/C_SaintCatherine.rpy	13	p "[what]"
conv_SaintCatherine_e375c1af	pc	We sure are.	game/tl/test/characters/C_SaintCatherine.rpy	19	pc "[what]"
conv_SaintCatherine_ed6645fa	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_SaintCatherine.rpy	25	p "[what]"
conv_SaintCatherine_57659f9d	p	See ya	game/tl/test/characters/C_SaintCatherine.rpy	31	p "[what]"
conv_SaintCatherine_use_action_491f39b9	p	Whoa, sure you want to use an action?	game/tl/test/characters/C_SaintCatherine.rpy	37	p "[what]" nointeract
conv_SaintCatherine_use_action_47a6a4a7	p	Understandable.	game/tl/test/characters/C_SaintCatherine.rpy	43	p "[what]"
conv_SaintCatherine_beat1_98883203	p	This is the first beat of my story!	game/tl/test/characters/C_SaintCatherine.rpy	49	p "[what]"
conv_SaintCatherine_beat1_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	55	p "[what]"
conv_SaintCatherine_beat1_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	61	p "[what]"
conv_SaintCatherine_beat1_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	67	pc "[what]"
conv_SaintCatherine_beat1_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	73	p "[what]"
conv_SaintCatherine_beat1_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	79	p "[what]"
conv_SaintCatherine_beat1_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	85	pc "[what]"
conv_SaintCatherine_beat2_3056008d	p	This is the second beat of my story!	game/tl/test/characters/C_SaintCatherine.rpy	91	p "[what]"
conv_SaintCatherine_beat2_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	97	p "[what]"
conv_SaintCatherine_beat2_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	103	p "[what]"
conv_SaintCatherine_beat2_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	109	pc "[what]"
conv_SaintCatherine_beat2_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	115	p "[what]"
conv_SaintCatherine_beat2_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	121	p "[what]"
conv_SaintCatherine_beat2_4f7b4a8a_1	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	127	pc "[what]"
conv_SaintCatherine_beat3_38c1fd32	p	This is the third beat of my story!	game/tl/test/characters/C_SaintCatherine.rpy	133	p "[what]"
conv_SaintCatherine_beat3_c1b70339	p	That raises my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	139	p "[what]"
conv_SaintCatherine_beat3_e34d273e	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	145	p "[what]"
conv_SaintCatherine_beat3_4f7b4a8a	pc	I did an action.	game/tl/test/characters/C_SaintCatherine.rpy	151	pc "[what]"
conv_SaintCatherine_beat3_393b8e37	p	That lowers my disposition.	game/tl/test/characters/C_SaintCatherine.rpy	157	p "[what]"
conv_SaintCatherine_beat3_e34d273e_1	p	You have [actions] action(s) left.	game/tl/test/characters/C_SaintCatherine.rpy	163	p "[what]"
